"","date","Month","Year","site","final_plant_name","total_flowers","height","hummingbird","comment","Transect_ID","lon","lat","ele","time","name","sym","type","extensions","link","cmt","desc","waypoint","timestamp","Camera_ID"
"1","43172",NA,NA,"ALASD","Disterigma noyesiae",14,"3","Metallura tyrianthina",NA,"ALASD_NA_378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","43172",NA,NA,"ALASD","Passiflora coactilis",2,"3","Metallura tyrianthina",NA,"ALASD_NA_384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","07/05/2018","May","2018","ALASD","Fuchsia sylvatica",10,"1","Coeligena lutetiae",NA,"ALASD_May_741",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,"Alaspungo","Elleanthus amethystinoides",30,"7","Heliangelus strophianus","male","Alaspungo_NA_2189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,"Alaspungo","Elleanthus amethystinoides",4,"7","Metallura tyrianthina","female","Alaspungo_NA_2191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","15/02/2017","February","2017","Cambugan","Aphelandra acanthus",1,"2","Adelomyia melanogenys",NA,"Cambugan_February_314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","15/02/2017","February","2017","Cambugan","Columnea strigosa",65,"2","Coeligena torquata",NA,"Cambugan_February_367",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","16/03/2017","March","2017","LasGralarias","Gasteranthus pansamalanus",NA,NA,"Heliodoxa rubinoides",NA,"LasGralarias_March_11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","16/03/2017","March","2017","LasGralarias","Gasteranthus pansamalanus",2,"2","Aglaiocercus coelestis",NA,"LasGralarias_March_12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","16/03/2017","March","2017","LasGralarias","Guzmania squarrosa",2,"4","Aglaiocercus coelestis",NA,"LasGralarias_March_28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","16/03/2017","March","2017","LasGralarias","Guzmania jaramilloi",2,"4","Colibri",NA,"LasGralarias_March_30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","16/03/2017","March","2017","LasGralarias","Cavendishia grandifolia",1,"6","Phaethornis yaruqui",NA,"LasGralarias_March_32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","11/05/2017","May","2017","LasGralarias","Palicourea demissa",26,"2","Phaethornis syrmatophorus",NA,"LasGralarias_May_553",-78.733304,-0.010928,"2054.494","2017-05-11T15:00:18Z","553","Flag, Blue","Blue Flag","553",NA,NA,NA,"553",2017-05-11 15:00:18,"LasGralarias_553"
"14","11/05/2017","May","2017","LasGralarias","Palicourea demissa",3,"2","Aglaiocercus coelestis",NA,"LasGralarias_May_556",-78.733624,-0.010942,"2055.232","2017-05-11T15:16:51Z","556","Flag, Blue","Blue Flag","556",NA,NA,NA,"556",2017-05-11 15:16:51,"LasGralarias_556"
"15","16/06/2017","June","2017","LasGralarias","Palicourea sodiroi",21,"3","Aglaiocercus coelestis","Feeding while hovering for 30'","LasGralarias_June_669",-78.732199,-0.011536,"1998.948730","2017-06-16T12:27:53Z","669","Flag, Blue",NA,NA,NA,NA,NA,"669",2017-06-16 12:27:53,"LasGralarias_669"
"16","16/06/2017","June","2017","LasGralarias","Tillandsia complanata",1,"6","Boissonneaua jardini",NA,"LasGralarias_June_724",-78.732815,-0.011035,"2046.984009","2017-06-16T17:42:49Z","724","Flag, Blue",NA,NA,NA,NA,NA,"724",2017-06-16 17:42:49,"LasGralarias_724"
"17","19/09/2017","September","2017","LasGralarias","Palicourea sodiroi",7,"1","Aglaiocercus coelestis","Visita ilegítima","LasGralarias_September_38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","13/11/2017","November","2017","LasGralarias","Psammisia ecuadorensis",20,"3","Heliodoxa rubinoides",NA,"LasGralarias_November_1932",-78.734417,-0.010206,"2042.366943","2017-11-13T14:43:11Z","1932","Flag, Blue",NA,NA,NA,NA,NA,"1932",2017-11-13 14:43:11,"LasGralarias_1932"
"19","20/02/2018","February","2018","LasGralarias","Columnea ciliata",NA,"6","Boissonneaua jardini",NA,"LasGralarias_February_137",-78.734551,-0.010168,"2032.531494","2018-02-20T14:16:26Z","137","Flag, Blue",NA,NA,NA,NA,NA,"137",2018-02-20 14:16:26,"LasGralarias_137"
"20","20/03/2018","March","2018","LasGralarias","Glossoloma oblongicalyx",NA,"0.5","Heliangelus strophianus",NA,"LasGralarias_March_633",-78.732489,-0.011588,"2051.831299","2018-03-20T13:52:45Z","633","Flag, Blue",NA,NA,NA,NA,NA,"633",2018-03-20 13:52:45,"LasGralarias_633"
"21","20/03/2018","March","2018","LasGralarias","Fuchsia macrostigma",NA,"4","Heliodoxa rubinoides",NA,"LasGralarias_March_645",-78.733698,-0.010894,"2055.234619","2018-03-20T14:26:42Z","645","Flag, Blue",NA,NA,NA,NA,NA,"645",2018-03-20 14:26:42,"LasGralarias_645"
"22",NA,NA,NA,NA,"Palicourea demissa",NA,"2","Aglaiocercus coelestis",NA,"NA_NA_893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,"Glossoloma penduliflorum",NA,"1","Ocreatus underwoodi",NA,"NA_NA_894",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","27/01/2017","January","2017","Maquipucuna","Renealmia sessilifolia",2,"2","Ocreatus underwoodii","","Maquipucuna_January_815",-78.629144,0.106411,"1644.421265","2017-01-27T14:06:56Z","815","Flag, Blue",NA,NA,NA,NA,NA,"815",2017-01-27 14:06:56,"Maquipucuna_815"
"25","27/01/2017","January","2017","Maquipucuna","Palicourea demissa",2,"4","Ocreatus underwoodii","","Maquipucuna_January_815",-78.629144,0.106411,"1644.421265","2017-01-27T14:06:56Z","815","Flag, Blue",NA,NA,NA,NA,NA,"815",2017-01-27 14:06:56,"Maquipucuna_815"
"26","27/01/2017","January","2017","Maquipucuna","Palicourea demissa",12,"6","Ocreatus underwoodii","","Maquipucuna_January_857",-78.62897,0.103214,"1710.865234","2017-01-27T15:02:07Z","857","Flag, Blue",NA,NA,NA,NA,NA,"857",2017-01-27 15:02:07,"Maquipucuna_857"
"27","25/02/2017","February","2017","Maquipucuna","Palicourea demissa",2,"6","Ocreatus underwoodii","","Maquipucuna_February_1335",-78.629721,0.106875,"1590.808716","2017-02-25T13:45:32Z","1335","Flag, Blue",NA,NA,NA,NA,NA,"1335",2017-02-25 13:45:32,"Maquipucuna_1335"
"28","18/03/2017","March","2017","Maquipucuna","Macleania recumbens",14,"5","Coeligena wilsoni","","Maquipucuna_March_1495",-78.62902,0.107818,"1563.921021","2017-03-18T13:33:07Z","1495","Flag, Blue",NA,NA,NA,NA,NA,"1495",2017-03-18 13:33:07,"Maquipucuna_1495"
"29","18/03/2017","March","2017","Maquipucuna","Macleania recumbens",14,"5","Coeligena wilsoni","","Maquipucuna_March_1495",-78.62893,0.108101,"1557.326172","2018-03-21T13:06:27Z","1495","Flag, Blue",NA,NA,NA,NA,NA,"1495",2018-03-21 13:06:27,"Maquipucuna_1495"
"30","18/03/2017","March","2017","Maquipucuna","Macleania recumbens",15,"2","Ocreatus underwoodii","","Maquipucuna_March_1523",-78.628475,0.10687,"1610.613770","2017-03-18T14:47:13Z","1523","Flag, Blue",NA,NA,NA,NA,NA,"1523",2017-03-18 14:47:13,"Maquipucuna_1523"
"31","18/03/2017","March","2017","Maquipucuna","Macleania recumbens",15,"2","Ocreatus underwoodii","","Maquipucuna_March_1523",-78.629029,0.104437,"1683.514648","2018-03-21T14:28:19Z","1523","Flag, Blue",NA,NA,NA,NA,NA,"1523",2018-03-21 14:28:19,"Maquipucuna_1523"
"32","18/03/2017","March","2017","Maquipucuna","Columnea kucyniakii",3,"5","Ocreatus underwoodii","","Maquipucuna_March_1558",-78.629038,0.104431,"1685.017334","2017-03-18T16:15:07Z","1558","Flag, Blue",NA,NA,NA,NA,NA,"1558",2017-03-18 16:15:07,"Maquipucuna_1558"
"33","18/03/2017","March","2017","Maquipucuna","Columnea kucyniakii",3,"5","Ocreatus underwoodii","","Maquipucuna_March_1558",-78.635293,0.117231,"1366.270020","2018-03-24T12:37:07Z","1558","Flag, Blue",NA,NA,NA,NA,NA,"1558",2018-03-24 12:37:07,"Maquipucuna_1558"
"34","05/04/2017","April","2017","Maquipucuna","Columnea ciliata",1,"2","Phaethornis syrmatophorus","","Maquipucuna_April_1856",-78.628718,0.107563,"1567.341553","2017-04-05T12:53:44Z","1856","Flag, Blue",NA,NA,NA,NA,NA,"1856",2017-04-05 12:53:44,"Maquipucuna_1856"
"35","05/04/2017","April","2017","Maquipucuna","Palicourea demissa",9,"5","Ocreatus underwoodii","","Maquipucuna_April_1894",-78.629007,0.104465,"1678.967041","2017-04-05T14:14:02Z","1894","Flag, Blue",NA,NA,NA,NA,NA,"1894",2017-04-05 14:14:02,"Maquipucuna_1894"
"36","05/04/2017","April","2017","Maquipucuna","Palicourea demissa",5,"4","Aglaiocercus coelestis","","Maquipucuna_April_1911",-78.628684,0.102853,"1717.025513","2017-04-05T14:41:03Z","1911","Flag, Blue",NA,NA,NA,NA,NA,"1911",2017-04-05 14:41:03,"Maquipucuna_1911"
"37","11/05/2017","May","2017","Maquipucuna","Palicourea demissa",24,"6","Ocreatus underwoodii","","Maquipucuna_May_509",-78.628737,0.108345,"1530.546875","2017-05-11T13:02:19Z","509","Flag, Blue",NA,NA,NA,NA,NA,"509",2017-05-11 13:02:19,"Maquipucuna_509"
"38","11/05/2017","May","2017","Maquipucuna","Palicourea demissa",1,"5","Ocreatus underwoodii","","Maquipucuna_May_522",-78.62945,0.107325,"1574.102539","2017-05-11T13:28:13Z","522","Flag, Blue",NA,NA,NA,NA,NA,"522",2017-05-11 13:28:13,"Maquipucuna_522"
"39","09/06/2017","June","2017","Maquipucuna","Palicourea demissa",4,"4","Ocreatus underwoodii","","Maquipucuna_June_642",-78.629631,0.107073,"1569.611084","2017-06-09T14:16:47Z","642","Flag, Blue",NA,NA,NA,NA,NA,"642",2017-06-09 14:16:47,"Maquipucuna_642"
"40","09/06/2017","June","2017","Maquipucuna","Palicourea demissa",18,"4","Aglaiocercus coelestis","","Maquipucuna_June_648",-78.629414,0.107024,"1584.925049","2017-06-09T14:24:32Z","648","Flag, Blue",NA,NA,NA,NA,NA,"648",2017-06-09 14:24:32,"Maquipucuna_648"
"41","13/07/2017","July","2017","Maquipucuna","Palicourea demissa",28,"5","Colibri delphinae","","Maquipucuna_July_1500",-78.628546,0.108765,"1527.015991","2017-07-13T12:26:23Z","1500","Flag, Blue",NA,NA,NA,NA,NA,"1500",2017-07-13 12:26:23,"Maquipucuna_1500"
"42","13/07/2017","July","2017","Maquipucuna","Palicourea demissa",2,"5","Phaethornis yaruqui","heard only","Maquipucuna_July_1508",-78.628906,0.10815,"1545.340820","2017-07-13T12:41:53Z","1508","Flag, Blue",NA,NA,NA,NA,NA,"1508",2017-07-13 12:41:53,"Maquipucuna_1508"
"43","13/07/2017","July","2017","Maquipucuna","Palicourea demissa",6,"5","Ocreatus underwoodii","","Maquipucuna_July_1563",-78.629437,0.10515,"1657.333984","2017-07-13T14:11:56Z","1563","Flag, Blue",NA,NA,NA,NA,NA,"1563",2017-07-13 14:11:56,"Maquipucuna_1563"
"44","13/08/2017","August","2017","Maquipucuna","Columnea mastersonii",4,"5","Phaethornis syrmatophorus","","Maquipucuna_August_1657",-78.628573,0.108576,"1524.469604","2017-08-13T12:56:08Z","1657","Flag, Blue",NA,NA,NA,NA,NA,"1657",2017-08-13 12:56:08,"Maquipucuna_1657"
"45","13/08/2017","August","2017","Maquipucuna","Heliconia virginalis",2,"3","Thalurania fannyi","male","Maquipucuna_August_1660",-78.628697,0.108424,"1537.390381","2017-08-13T13:07:06Z","1660","Flag, Blue",NA,NA,NA,NA,NA,"1660",2017-08-13 13:07:06,"Maquipucuna_1660"
"46","13/08/2017","August","2017","Maquipucuna","Columnea picta",2,"5","Phaethornis syrmatophorus","","Maquipucuna_August_1694",-78.628437,0.10682,"1614.086792","2017-08-13T14:00:15Z","1694","Flag, Blue",NA,NA,NA,NA,NA,"1694",2017-08-13 14:00:15,"Maquipucuna_1694"
"47","13/08/2017","August","2017","Maquipucuna","Palicourea demissa",17,"6","Ocreatus underwoodii","female","Maquipucuna_August_1706",-78.629441,0.106182,"1646.203979","2017-08-13T14:19:10Z","1706","Flag, Blue",NA,NA,NA,NA,NA,"1706",2017-08-13 14:19:10,"Maquipucuna_1706"
"48","13/08/2017","August","2017","Maquipucuna","Palicourea demissa",3,"4","Ocreatus underwoodii","female","Maquipucuna_August_1743",-78.627857,0.102361,"1716.212402","2017-08-13T15:32:15Z","1743","Flag, Blue",NA,NA,NA,NA,NA,"1743",2017-08-13 15:32:15,"Maquipucuna_1743"
"49","08/10/2017","October","2017","Maquipucuna","Besleria solanoides",7,"4","Ocreatus underwoodii","","Maquipucuna_October_673",-78.629474,0.106065,"1651.482666","2017-10-08T14:16:12Z","673","Flag, Blue",NA,NA,NA,NA,NA,"673",2017-10-08 14:16:12,"Maquipucuna_673"
"50","08/10/2017","October","2017","Maquipucuna","Besleria solanoides",7,"4","Ocreatus underwoodii","","Maquipucuna_October_695",-78.629138,0.104221,"1691.611572","2017-10-08T14:44:07Z","695","Flag, Blue",NA,NA,NA,NA,NA,"695",2017-10-08 14:44:07,"Maquipucuna_695"
"51","19/11/2017","November","2017","Maquipucuna","Psammisia aberrans",107,"7","Ocreatus underwoodii","female","Maquipucuna_November_1639",-78.629568,0.106948,"1592.823486","2017-11-19T13:29:53Z","1639","Flag, Blue",NA,NA,NA,NA,NA,"1639",2017-11-19 13:29:53,"Maquipucuna_1639"
"52","19/11/2017","November","2017","Maquipucuna","Psammisia aberrans",60,"4","Ocreatus underwoodii","female","Maquipucuna_November_1670",-78.62935,0.106269,"1644.282715","2017-11-19T14:13:46Z","1670","Flag, Blue",NA,NA,NA,NA,NA,"1670",2017-11-19 14:13:46,"Maquipucuna_1670"
"53","19/11/2017","November","2017","Maquipucuna","Psammisia aberrans",124,"5","Ocreatus underwoodii","female","Maquipucuna_November_1674",-78.629455,0.106134,"1647.470215","2017-11-19T14:17:41Z","1674","Flag, Blue",NA,NA,NA,NA,NA,"1674",2017-11-19 14:17:41,"Maquipucuna_1674"
"54","19/11/2017","November","2017","Maquipucuna","Cuatresia exiguiflora",6,"4","Ocreatus underwoodii","female","Maquipucuna_November_1708",-78.628952,0.103672,"1698.949829","2017-11-19T14:48:20Z","1708","Flag, Blue",NA,NA,NA,NA,NA,"1708",2017-11-19 14:48:20,"Maquipucuna_1708"
"55","12/01/2018","January","2018","Maquipucuna","Columnea mastersonii",2,"4","Aglaiocercus coelestis","heard only","Maquipucuna_January_720",-78.629009,0.103093,"1710.153687","2018-01-12T14:47:34Z","720","Flag, Blue",NA,NA,NA,NA,NA,"720",2018-01-12 14:47:34,"Maquipucuna_720"
"56","09/02/2018","February","2018","Maquipucuna","Columnea ciliata",2,"5","Phaethornis syrmatophorus","","Maquipucuna_February_808",-78.629199,0.107489,"1574.810547","2018-02-09T13:51:46Z","808","Flag, Blue",NA,NA,NA,NA,NA,"808",2018-02-09 13:51:46,"Maquipucuna_808"
"57","09/02/2018","February","2018","Maquipucuna","Wercklea ferox",5,"2","Schistes geoffroyi","","Maquipucuna_February_814",-78.629379,0.106939,"1596.394043","2018-02-09T14:05:41Z","814","Flag, Blue",NA,NA,NA,NA,NA,"814",2018-02-09 14:05:41,"Maquipucuna_814"
"58","09/02/2018","February","2018","Maquipucuna","Mezobromelia capituligera",3,"5","Heliodoxa rubinoides","","Maquipucuna_February_860",-78.628611,0.10259,"1719.983521","2018-02-09T15:45:14Z","860","Flag, Blue",NA,NA,NA,NA,NA,"860",2018-02-09 15:45:14,"Maquipucuna_860"
"59","24/04/2018","April","2018","Maquipucuna","Palicourea demissa",22,"4","Phaethornis yaruqui","","Maquipucuna_April_1925",-78.634225,0.119129,"1364.485596","2017-04-08T12:10:11Z","1925","Flag, Blue",NA,NA,NA,NA,NA,"1925",2017-04-08 12:10:11,"Maquipucuna_1925"
"60","24/04/2018","April","2018","Maquipucuna","Palicourea demissa",22,"4","Phaethornis yaruqui","","Maquipucuna_April_1925",-78.628583,0.108738,"1555.699219","2018-04-24T12:32:03Z","1925","Flag, Blue",NA,NA,NA,NA,NA,"1925",2018-04-24 12:32:03,"Maquipucuna_1925"
"61","24/04/2018","April","2018","Maquipucuna","Palicourea demissa",18,"5","Ocreatus underwoodii","female","Maquipucuna_April_1935",-78.635319,0.11754,"1367.815674","2017-04-08T12:35:39Z","1935","Flag, Blue",NA,NA,NA,NA,NA,"1935",2017-04-08 12:35:39,"Maquipucuna_1935"
"62","24/04/2018","April","2018","Maquipucuna","Palicourea demissa",18,"5","Ocreatus underwoodii","female","Maquipucuna_April_1935",-78.628692,0.107688,"1575.249268","2018-04-24T12:47:43Z","1935","Flag, Blue",NA,NA,NA,NA,NA,"1935",2018-04-24 12:47:43,"Maquipucuna_1935"
"63","24/04/2018","April","2018","Maquipucuna","Palicourea demissa",25,"4","Doryfera ludovicae","Can you believe it??","Maquipucuna_April_1940",-78.635171,0.116981,"1367.551758","2017-04-08T12:42:05Z","1940","Flag, Blue",NA,NA,NA,NA,NA,"1940",2017-04-08 12:42:05,"Maquipucuna_1940"
"64","24/04/2018","April","2018","Maquipucuna","Palicourea demissa",25,"4","Doryfera ludovicae","Can you believe it??","Maquipucuna_April_1940",-78.628952,0.107574,"1579.687988","2018-04-24T13:00:27Z","1940","Flag, Blue",NA,NA,NA,NA,NA,"1940",2018-04-24 13:00:27,"Maquipucuna_1940"
"65","24/04/2018","April","2018","Maquipucuna","Palicourea demissa",31,"5","Coeligena wilsoni","","Maquipucuna_April_1956",-78.633457,0.114989,"1374.558228","2017-04-08T13:13:04Z","1956","Flag, Blue",NA,NA,NA,NA,NA,"1956",2017-04-08 13:13:04,"Maquipucuna_1956"
"66","24/04/2018","April","2018","Maquipucuna","Palicourea demissa",31,"5","Coeligena wilsoni","","Maquipucuna_April_1956",-78.628624,0.106489,"1632.546509","2018-04-24T13:40:32Z","1956","Flag, Blue",NA,NA,NA,NA,NA,"1956",2018-04-24 13:40:32,"Maquipucuna_1956"
"67","24/04/2018","April","2018","Maquipucuna","Palicourea demissa",15,"4","Urosticte benjamini","","Maquipucuna_April_1959",-78.633315,0.114938,"1375.269409","2017-04-08T13:15:49Z","1959","Flag, Blue",NA,NA,NA,NA,NA,"1959",2017-04-08 13:15:49,"Maquipucuna_1959"
"68","24/04/2018","April","2018","Maquipucuna","Palicourea demissa",15,"4","Urosticte benjamini","","Maquipucuna_April_1959",-78.628873,0.106367,"1638.416382","2018-04-24T13:43:43Z","1959","Flag, Blue",NA,NA,NA,NA,NA,"1959",2018-04-24 13:43:43,"Maquipucuna_1959"
"69","24/04/2018","April","2018","Maquipucuna","Palicourea demissa",5,"4","Ocreatus underwoodii","female","Maquipucuna_April_1982",-78.629027,0.103523,"1699.055176","2018-04-24T14:32:37Z","1982","Flag, Blue",NA,NA,NA,NA,NA,"1982",2018-04-24 14:32:37,"Maquipucuna_1982"
"70","24/04/2018","April","2018","Maquipucuna","Palicourea demissa",27,"5","Aglaiocercus coelestis","male","Maquipucuna_April_1987",-78.628943,0.103016,"1713.923584","2018-04-24T14:37:49Z","1987","Flag, Blue",NA,NA,NA,NA,NA,"1987",2018-04-24 14:37:49,"Maquipucuna_1987"
"71","21/05/2018","May","2018","Maquipucuna","Palicourea demissa",76,"6","Florisuga mellivora","male; I don't think I've ever seen one that deep inside of the forest","Maquipucuna_May_338",-78.629014,0.107796,"1525.733643","2018-05-21T13:40:36Z","338","Flag, Blue",NA,NA,NA,NA,NA,"338",2018-05-21 13:40:36,"Maquipucuna_338"
"72","21/05/2018","May","2018","Maquipucuna","Palicourea demissa",16,"5","Ocreatus underwoodii","female","Maquipucuna_May_408",-78.628988,0.103455,"1698.332031","2018-05-21T15:12:45Z","408","Flag, Blue",NA,NA,NA,NA,NA,"408",2018-05-21 15:12:45,"Maquipucuna_408"
"73","13/05/2017","May","2017","MSPC","Bromelia paniculata",2,"8","Androdon aequatorialis",NA,"MSPC_May_74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","20/06/2017","June","2017","MSPC","Psammisia pauciflora",7,"5","Phaethornis yaruqui",NA,"MSPC_June_389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","21/03/2018","March","2018","MSPC","Palicourea sodiroi",12,"2","Aglaiocercus kingii",NA,"MSPC_March_379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","18/08/2017","August","2017","MashpiLaguna","Columnea rubriacuta",5,"1","Phaethornis syrmatophorus",NA,"MashpiLaguna_August_1048",-78.871256,0.170201,"1156.052","2017-08-18T13:59:30Z","1048","Flag, Blue","Blue Flag","1048",NA,NA,NA,"1048",2017-08-18 13:59:30,"MashpiLaguna_1048"
"77","18/08/2017","August","2017","MashpiLaguna","Glossoloma sprucei",11,"1","Phaethornis syrmatophorus",NA,"MashpiLaguna_August_1079",-78.866718,0.172807,"1282.552","2017-08-18T16:53:37Z","1079","Flag, Blue","Blue Flag","1079",NA,NA,NA,"1079",2017-08-18 16:53:37,"MashpiLaguna_1079"
"78","22/01/2018","January","2018","MashpiLaguna","Psammisia caloneura",24,"1.5","Phaethornis yaruqui","cámara","MashpiLaguna_January_9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","22/01/2018","January","2018","MashpiLaguna","Besleria solanoides",20,"3","Aglaiocercus coelestis",NA,"MashpiLaguna_January_16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
