Iplant_Double,Lt,Lc,D,S,E
Besleria solanoides,10.5,12,3.5,9.5,-1
Columnea ciliata,46.60416667,62.02083333,13.14583333,60.16666667,8.0625
Columnea kucyniakii,29.5,46,7.5,45,15
Columnea mastersonii,40.625,49,7.5,38.75,-2
Columnea medicinalis,35.73015873,64.53968254,16.82539683,66.66666667,28.57142857
Columnea picta,26.21333333,53.5,7,45.1264,19.23
Columnea strigosa,40,70,13,66,26
Drymonia collegarum,29.76190476,32.14285714,7.142857143,27.38095238,-3.571428571
Drymonia tenuis,21,24,4.5,21,-1
Drymonia teuscheri,32,34,4.5,28,-4
Gasteranthus lateralis,20,23,7,19,-1
Gasteranthus quitensis,7,7,5,8,1
Glossoloma oblongicalyx,45.92105263,53.57894737,14.39473684,46.47368421,3
Glossoloma purpureum,43.88888889,52.66666667,13.66666667,40.83333333,-2.666666667
Kohleria affinis,40.39473684,44.86842105,7.447368421,53.15789474,11.57894737